File_name,Time,Treatment
4_S3_R1_001.fastq.gz,2D,Cre
5_S4_R1_001.fastq.gz,2D,Control
8_S5_R1_001.fastq.gz,2D,Control
12_S6_R1_001.fastq.gz,2D,Cre
14_S7_R1_001.fastq.gz,2D,Control
17_S8_R1_001.fastq.gz,2D,Cre
20_S9_R1_001.fastq.gz,2D,Cre
22_S10_R1_001.fastq.gz,2D,Control
27_S11_R1_001.fastq.gz,2D,Control
28_S12_R1_001.fastq.gz,2D,Control
30_S13_R1_001.fastq.gz,2D,Cre
31_S14_R1_001.fastq.gz,2D,Cre
1_S10_R1_001.fastq.gz,7D,Control
2_S11_R1_001.fastq.gz,7D,Cre
3_S12_R1_001.fastq.gz,7D,Control
5_S13_R1_001.fastq.gz,7D,Cre
6_S14_R1_001.fastq.gz,7D,Control
10_S15_R1_001.fastq.gz,7D,Cre
13_S16_R1_001.fastq.gz,7D,Cre
14_S17_R1_001.fastq.gz,7D,Control
15_S18_R1_001.fastq.gz,7D,Cre
16_S19_R1_001.fastq.gz,7D,Control
17_S20_R1_001.fastq.gz,7D,Cre
24_S21_R1_001.fastq.gz,7D,Control